City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
2,Coahuayana,MX,72.09,overcast clouds,18.7333,-103.6833,
3,Avera,US,60.31,clear sky,33.194,-82.5271,
4,Rocha,UY,60.22,clear sky,-34.4833,-54.3333,
5,Clarence Town,AU,89.62,clear sky,-32.5833,151.7833,
8,Hilo,US,80.33,broken clouds,19.7297,-155.09,
9,Cidreira,BR,70.92,few clouds,-30.1811,-50.2056,
11,Avarua,CK,80.65,light intensity drizzle,-21.2078,-159.775,
12,Hithadhoo,MV,80.28,scattered clouds,-0.6,73.0833,
22,Flinders,AU,84.06,few clouds,-34.5833,150.8552,
23,Baoro,CF,65.79,clear sky,5.6667,15.9667,
24,Palora,EC,64.89,overcast clouds,-1.7,-77.9333,
26,Bredasdorp,ZA,66.7,broken clouds,-34.5322,20.0403,
27,Itapora,BR,69.78,moderate rain,-22.0799,-54.7874,
28,Rikitea,PF,78.66,few clouds,-23.1203,-134.9692,
30,Butaritari,KI,80.74,overcast clouds,3.0707,172.7902,
31,Puerto Rondon,CO,75.31,clear sky,6.2805,-71.1,
34,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,
35,Saint-Philippe,RE,74.79,broken clouds,-21.3585,55.7679,
37,Sao Filipe,CV,76.39,broken clouds,14.8961,-24.4956,
42,Hermanus,ZA,69.8,clear sky,-34.4187,19.2345,
46,Rafaela,AR,75.99,clear sky,-31.2503,-61.4867,
47,Kahului,US,80.96,scattered clouds,20.8947,-156.47,
49,Kapaa,US,80.92,clear sky,22.0752,-159.319,
52,Poum,NC,78.8,few clouds,-20.2333,164.0167,
53,Kembe,CF,68.94,scattered clouds,4.6228,21.8865,
57,Cape Town,ZA,65.12,broken clouds,-33.9258,18.4232,
58,Rawson,AR,68.97,few clouds,-43.3002,-65.1023,
59,Busselton,AU,77.56,clear sky,-33.65,115.3333,
60,Chuy,UY,63.63,clear sky,-33.6971,-53.4616,
61,Misratah,LY,61.65,clear sky,32.3754,15.0925,
65,Mataura,NZ,78.84,overcast clouds,-46.1927,168.8643,
68,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,
70,Garowe,SO,64.42,clear sky,8.4054,48.4845,
76,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,
80,Atuona,PF,78.78,clear sky,-9.8,-139.0333,
82,Puerto Ayora,EC,72.55,few clouds,-0.7393,-90.3518,
83,Port-Gentil,GA,77.14,overcast clouds,-0.7193,8.7815,
85,Labuhan,ID,81.28,overcast clouds,-6.8844,112.2051,
86,Pak Phanang,TH,78.82,overcast clouds,8.3511,100.202,
88,Port Elizabeth,ZA,71.1,clear sky,-33.918,25.5701,
89,Ribeira Grande,PT,61.77,overcast clouds,38.5167,-28.7,
90,Neiafu,TO,86.68,light rain,-18.65,-173.9833,
91,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,
92,Carnarvon,AU,90.0,clear sky,-24.8667,113.6333,
94,Castro,BR,64.85,overcast clouds,-24.7911,-50.0119,
95,Gizo,SB,84.76,overcast clouds,-8.103,156.8419,
99,Cabo San Lucas,MX,72.52,clear sky,22.8909,-109.9124,
100,Ahipara,NZ,71.62,overcast clouds,-35.1667,173.1667,
101,Pimentel,PE,70.09,scattered clouds,-6.8367,-79.9342,
102,Bengkulu,ID,75.34,overcast clouds,-3.8004,102.2655,
105,Piacabucu,BR,75.9,overcast clouds,-10.4056,-36.4344,
109,Victoria,HK,63.19,overcast clouds,22.2855,114.1577,
110,Zambezi,ZM,63.21,overcast clouds,-13.5432,23.1047,
112,The Valley,AI,78.1,clear sky,18.217,-63.0578,
114,Seybaplaya,MX,80.06,few clouds,19.65,-90.6667,
117,Port Macquarie,AU,79.9,clear sky,-31.4333,152.9167,
121,Betare Oya,CM,67.91,clear sky,5.6,14.0833,
123,Mar Del Plata,AR,65.08,clear sky,-38.0023,-57.5575,
127,Puerto Madero,MX,77.2,scattered clouds,14.7208,-92.4215,
129,West Helena,US,71.35,moderate rain,34.5507,-90.6418,
130,Pasir Gudang,MY,82.51,broken clouds,1.4584,103.8805,
131,Yaan,NG,75.99,overcast clouds,7.3833,8.5667,
133,Itarema,BR,78.82,scattered clouds,-2.9248,-39.9167,
134,Hambantota,LK,68.34,few clouds,6.1241,81.1185,
138,Sao Desiderio,BR,68.04,clear sky,-12.3633,-44.9733,
140,Bireun,ID,77.36,overcast clouds,5.203,96.7009,
141,Bluff,NZ,64.85,overcast clouds,-46.6,168.3333,
144,Codrington,AU,61.99,overcast clouds,-38.2667,141.9667,
145,Ugoofaaru,MV,80.91,clear sky,5.6667,73.0,
150,Ascension,US,75.2,broken clouds,30.2169,-90.9001,
156,Bandarbeyla,SO,75.78,light rain,9.4942,50.8122,
158,Madang,PG,84.02,overcast clouds,-5.2246,145.7966,
167,Sulangan,PH,78.22,moderate rain,11.1373,123.7228,
168,Mokolo,CM,61.0,overcast clouds,10.7398,13.8019,
169,East London,ZA,69.44,overcast clouds,-33.0153,27.9116,
170,Moyale,KE,65.84,scattered clouds,3.5167,39.0584,
174,Robe,AU,61.57,clear sky,-37.1833,139.75,
175,Manavalakurichi,IN,73.94,few clouds,8.1333,77.3,
183,Marsa Matruh,EG,64.6,light rain,31.3525,27.2453,
184,Oussouye,SN,68.18,overcast clouds,12.485,-16.5469,
186,Dingle,PH,75.52,overcast clouds,10.9995,122.6711,
187,Lexington,US,62.49,scattered clouds,37.9887,-84.4777,
188,Port Lincoln,AU,66.81,scattered clouds,-34.7333,135.8667,
190,Safaga,EG,64.24,clear sky,26.7292,33.9365,
191,Singkawang,ID,81.77,light rain,0.9,109.0,
192,Boende,CD,71.37,overcast clouds,-0.2167,20.8667,
202,Carutapera,BR,76.14,scattered clouds,-1.195,-46.02,
206,Praya,CV,73.15,broken clouds,14.9215,-23.5087,
207,Kavaratti,IN,80.35,broken clouds,10.5669,72.642,
210,Broken Hill,AU,82.4,clear sky,-31.95,141.4333,
