City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Description
0,Jamestown,42.097,-79.2353,42.44,72,0,3.44,US,clear sky
1,Chokurdakh,70.6333,147.9167,-39.15,100,94,3.67,RU,overcast clouds
2,Coahuayana,18.7333,-103.6833,72.09,75,100,1.7,MX,overcast clouds
3,Avera,33.194,-82.5271,60.31,74,7,6.78,US,clear sky
4,Rocha,-34.4833,-54.3333,60.22,89,4,5.91,UY,clear sky
5,Clarence Town,-32.5833,151.7833,89.62,29,0,5.37,AU,clear sky
6,Punta Arenas,-53.15,-70.9167,46.51,71,40,9.22,CL,scattered clouds
7,Albany,42.6001,-73.9662,36.73,86,56,2.71,US,broken clouds
8,Hilo,19.7297,-155.09,80.33,73,75,9.22,US,broken clouds
9,Cidreira,-30.1811,-50.2056,70.92,96,11,8.19,BR,few clouds
10,Barrow,71.2906,-156.7887,3.22,85,100,20.71,US,mist
11,Avarua,-21.2078,-159.775,80.65,89,75,11.5,CK,light intensity drizzle
12,Hithadhoo,-0.6,73.0833,80.28,68,35,10.33,MV,scattered clouds
13,Ushuaia,-54.8,-68.3,42.46,81,75,25.32,AR,broken clouds
14,Paamiut,61.994,-49.6678,2.44,69,15,8.66,GL,few clouds
15,Greenfield,42.9614,-88.0126,36.9,88,100,6.91,US,mist
16,Tasiilaq,65.6145,-37.6368,3.36,63,22,6.53,GL,few clouds
17,Khatanga,71.9667,102.5,-8.63,97,100,10.58,RU,light snow
18,Ridge,40.894,-72.8959,51.22,88,100,0.0,US,overcast clouds
19,Yuzhne,46.6221,31.1013,44.8,86,30,11.88,UA,scattered clouds
20,Killybegs,54.6333,-8.45,44.82,87,100,29.44,IE,overcast clouds
21,Nikolskoye,59.7035,30.7861,26.49,93,100,5.37,RU,light snow
22,Flinders,-34.5833,150.8552,84.06,69,18,8.01,AU,few clouds
23,Baoro,5.6667,15.9667,65.79,38,1,5.26,CF,clear sky
24,Palora,-1.7,-77.9333,64.89,96,96,1.32,EC,overcast clouds
25,Norman Wells,65.282,-126.8329,8.64,72,75,13.8,CA,light snow
26,Bredasdorp,-34.5322,20.0403,66.7,94,62,4.47,ZA,broken clouds
27,Itapora,-22.0799,-54.7874,69.78,97,100,4.23,BR,moderate rain
28,Rikitea,-23.1203,-134.9692,78.66,73,18,11.41,PF,few clouds
29,Colares,38.7992,-9.4469,51.8,80,3,5.01,PT,clear sky
30,Butaritari,3.0707,172.7902,80.74,74,100,10.18,KI,overcast clouds
31,Puerto Rondon,6.2805,-71.1,75.31,72,7,5.41,CO,clear sky
32,Great Yarmouth,52.6083,1.7305,36.01,88,2,8.43,GB,clear sky
33,Zlotow,53.3635,17.0408,47.35,76,98,14.67,PL,overcast clouds
34,Vaini,-21.2,-175.2,82.56,89,40,11.5,TO,scattered clouds
35,Saint-Philippe,-21.3585,55.7679,74.79,78,79,4.81,RE,broken clouds
36,Brae,60.3964,-1.353,40.23,75,22,7.78,GB,few clouds
37,Sao Filipe,14.8961,-24.4956,76.39,57,59,7.4,CV,broken clouds
38,Tuktoyaktuk,69.4541,-133.0374,6.8,78,100,20.71,CA,light snow
39,Vorobyevka,50.6451,40.9245,33.49,92,77,5.37,RU,broken clouds
40,Aljezur,37.3191,-8.8033,48.6,83,62,8.16,PT,broken clouds
41,Cascais,38.6979,-9.4215,51.98,82,1,5.01,PT,clear sky
42,Hermanus,-34.4187,19.2345,69.8,90,2,5.46,ZA,clear sky
43,Surgut,61.25,73.4167,3.38,84,100,11.18,RU,light snow
44,Eureka,40.8021,-124.1637,49.93,87,100,1.01,US,overcast clouds
45,Ancud,-41.8697,-73.8203,54.0,91,66,7.47,CL,broken clouds
46,Rafaela,-31.2503,-61.4867,75.99,33,0,6.91,AR,clear sky
47,Kahului,20.8947,-156.47,80.96,75,40,10.0,US,scattered clouds
48,Tupik,54.4253,119.9327,-14.89,87,13,2.04,RU,few clouds
49,Kapaa,22.0752,-159.319,80.92,79,0,6.91,US,clear sky
50,Constitucion,-35.3333,-72.4167,55.33,81,52,16.51,CL,broken clouds
51,Otjiwarongo,-20.4637,16.6477,68.38,66,39,2.39,NA,scattered clouds
52,Poum,-20.2333,164.0167,78.8,66,12,11.36,NC,few clouds
53,Kembe,4.6228,21.8865,68.94,49,50,2.08,CF,scattered clouds
54,Ilulissat,69.2167,-51.1,-5.78,71,80,32.21,GL,broken clouds
55,Hobart,-42.8794,147.3294,59.25,65,75,12.66,AU,broken clouds
56,Geraldton,-28.7667,114.6,97.21,14,61,19.57,AU,broken clouds
57,Cape Town,-33.9258,18.4232,65.12,89,75,11.5,ZA,broken clouds
58,Rawson,-43.3002,-65.1023,68.97,33,16,16.78,AR,few clouds
59,Busselton,-33.65,115.3333,77.56,43,0,11.56,AU,clear sky
60,Chuy,-33.6971,-53.4616,63.63,85,0,7.72,UY,clear sky
61,Misratah,32.3754,15.0925,61.65,65,0,5.68,LY,clear sky
62,Blagoyevo,63.3667,47.9167,-1.35,94,100,8.41,RU,overcast clouds
63,San Joaquin,37.9333,-121.3011,46.11,89,100,14.05,US,light rain
64,Yellowknife,62.456,-114.3525,1.92,85,75,13.8,CA,light snow
65,Mataura,-46.1927,168.8643,78.84,42,100,1.16,NZ,overcast clouds
66,Thompson,55.7435,-97.8558,14.16,85,100,9.22,CA,light snow
67,Luderitz,-26.6481,15.1594,64.13,88,31,7.7,NA,scattered clouds
68,Mahebourg,-20.4081,57.7,74.25,94,40,5.75,MU,scattered clouds
69,Sirmaur,24.85,81.3833,46.56,70,0,1.92,IN,clear sky
70,Garowe,8.4054,48.4845,64.42,82,0,9.53,SO,clear sky
71,Mezcala,20.9333,-102.75,55.83,47,74,5.06,MX,broken clouds
72,Saint George,37.1041,-113.5841,43.95,68,100,4.61,US,overcast clouds
73,Port Hardy,50.6996,-127.4199,42.98,75,100,11.5,CA,overcast clouds
74,New Norfolk,-42.7826,147.0587,58.91,60,100,3.0,AU,overcast clouds
75,Portland,45.5234,-122.6762,40.35,77,75,19.57,US,broken clouds
76,Alofi,-19.0595,-169.9187,84.09,74,100,10.36,NU,overcast clouds
77,Hasaki,35.7333,140.8333,46.29,35,5,9.13,JP,clear sky
78,Seoul,37.5683,126.9778,24.37,52,0,2.3,KR,clear sky
79,Hafizabad,32.0679,73.6854,45.27,51,0,1.9,PK,clear sky
80,Atuona,-9.8,-139.0333,78.78,77,9,21.05,PF,clear sky
81,Selma,36.5708,-119.6121,49.64,93,75,11.5,US,moderate rain
82,Puerto Ayora,-0.7393,-90.3518,72.55,95,18,5.01,EC,few clouds
83,Port-Gentil,-0.7193,8.7815,77.14,86,100,11.05,GA,overcast clouds
84,Yerofey Pavlovich,53.9667,121.9667,-5.19,82,6,3.04,RU,clear sky
85,Labuhan,-6.8844,112.2051,81.28,75,100,12.24,ID,overcast clouds
86,Pak Phanang,8.3511,100.202,78.82,75,100,8.12,TH,overcast clouds
87,Osoyoos,49.0331,-119.4524,32.76,74,97,0.0,CA,overcast clouds
88,Port Elizabeth,-33.918,25.5701,71.1,92,0,3.44,ZA,clear sky
89,Ribeira Grande,38.5167,-28.7,61.77,85,100,15.01,PT,overcast clouds
90,Neiafu,-18.65,-173.9833,86.68,79,75,4.61,TO,light rain
91,Pitimbu,-7.4706,-34.8086,79.39,79,100,11.45,BR,overcast clouds
92,Carnarvon,-24.8667,113.6333,90.0,47,0,7.92,AU,clear sky
93,Lagoa,39.05,-27.9833,59.68,84,100,19.8,PT,overcast clouds
94,Castro,-24.7911,-50.0119,64.85,91,98,2.51,BR,overcast clouds
95,Gizo,-8.103,156.8419,84.76,71,100,8.68,SB,overcast clouds
96,Harnosand,62.6323,17.9379,15.8,84,11,10.36,SE,few clouds
97,Nyurba,63.2842,118.3319,0.91,95,100,8.75,RU,overcast clouds
98,Bonnyville,54.2668,-110.735,15.12,90,99,4.38,CA,overcast clouds
99,Cabo San Lucas,22.8909,-109.9124,72.52,72,0,6.91,MX,clear sky
100,Ahipara,-35.1667,173.1667,71.62,71,100,17.43,NZ,overcast clouds
101,Pimentel,-6.8367,-79.9342,70.09,94,40,13.8,PE,scattered clouds
102,Bengkulu,-3.8004,102.2655,75.34,86,100,3.83,ID,overcast clouds
103,Lodingen,68.414,15.9951,32.56,94,99,2.91,NO,light snow
104,Imphal,24.8167,93.95,49.91,100,20,0.0,IN,mist
105,Piacabucu,-10.4056,-36.4344,75.9,86,100,8.9,BR,overcast clouds
106,Cariamanga,-4.3333,-79.55,54.86,83,97,2.24,EC,overcast clouds
107,Sisimiut,66.9395,-53.6735,-3.23,82,66,17.22,GL,broken clouds
108,Bethel,41.3712,-73.414,46.27,86,100,0.0,US,overcast clouds
109,Victoria,22.2855,114.1577,63.19,76,96,11.01,HK,overcast clouds
110,Zambezi,-13.5432,23.1047,63.21,97,100,3.49,ZM,overcast clouds
111,Margate,51.3813,1.3862,48.9,85,9,10.65,GB,clear sky
112,The Valley,18.217,-63.0578,78.1,73,0,15.14,AI,clear sky
113,Nizhnyaya Tavda,57.6731,66.1725,22.05,95,100,9.75,RU,snow
114,Seybaplaya,19.65,-90.6667,80.06,66,13,8.55,MX,few clouds
115,Sistranda,63.7256,8.834,30.16,81,75,6.89,NO,broken clouds
116,Dikson,73.5069,80.5464,-2.25,98,100,5.59,RU,overcast clouds
117,Port Macquarie,-31.4333,152.9167,79.9,57,0,10.6,AU,clear sky
118,Vila Franca Do Campo,37.7167,-25.4333,59.41,86,100,6.49,PT,overcast clouds
119,Udimskiy,61.1417,45.9144,8.58,89,100,11.05,RU,overcast clouds
120,Adana,36.985,35.2881,46.92,70,0,3.44,TR,clear sky
121,Betare Oya,5.6,14.0833,67.91,36,9,4.99,CM,clear sky
122,Belyy Yar,53.6039,91.3903,-4.11,84,100,0.0,RU,smoke
123,Mar Del Plata,-38.0023,-57.5575,65.08,80,0,0.0,AR,clear sky
124,Cherskiy,68.75,161.3,-48.57,100,88,5.08,RU,overcast clouds
125,Naters,46.3254,7.9891,47.95,89,100,0.76,CH,overcast clouds
126,Provideniya,64.3833,-173.3,-3.89,86,40,6.78,RU,scattered clouds
127,Puerto Madero,14.7208,-92.4215,77.2,100,40,0.0,MX,scattered clouds
128,Bilma,18.6853,12.9164,54.57,37,46,4.0,NE,scattered clouds
129,West Helena,34.5507,-90.6418,71.35,90,100,19.57,US,moderate rain
130,Pasir Gudang,1.4584,103.8805,82.51,77,75,6.91,MY,broken clouds
131,Yaan,7.3833,8.5667,75.99,29,100,7.9,NG,overcast clouds
132,Ushtobe,45.2514,77.9838,29.17,74,100,10.31,KZ,overcast clouds
133,Itarema,-2.9248,-39.9167,78.82,81,41,12.3,BR,scattered clouds
134,Hambantota,6.1241,81.1185,68.34,100,20,3.44,LK,few clouds
135,Kidero,42.1932,45.9614,30.38,73,19,4.47,RU,few clouds
136,Ayagoz,47.9714,80.4392,22.06,95,100,20.18,KZ,light snow
137,Krasnoselkup,65.7,82.4667,-19.66,99,50,9.48,RU,scattered clouds
138,Sao Desiderio,-12.3633,-44.9733,68.04,92,5,2.42,BR,clear sky
139,Kovdor,67.5662,30.4758,9.01,99,98,2.57,RU,overcast clouds
140,Bireun,5.203,96.7009,77.36,80,100,3.71,ID,overcast clouds
141,Bluff,-46.6,168.3333,64.85,65,100,11.25,NZ,overcast clouds
142,Batagay,67.6333,134.6333,-43.06,100,63,3.71,RU,broken clouds
143,Saskylakh,71.9167,114.0833,-13.27,98,100,5.46,RU,overcast clouds
144,Codrington,-38.2667,141.9667,61.99,60,98,13.53,AU,overcast clouds
145,Ugoofaaru,5.6667,73.0,80.91,63,0,16.73,MV,clear sky
146,Yuzhnouralsk,54.4418,61.2536,24.44,94,100,20.6,RU,snow
147,Fortuna,40.5982,-124.1573,49.66,86,100,9.22,US,overcast clouds
148,Gravdal,68.1214,13.5031,35.06,60,60,14.92,NO,light snow
149,Huazhou,21.6333,110.5833,58.06,74,100,7.96,CN,overcast clouds
150,Ascension,30.2169,-90.9001,75.2,88,75,12.66,US,broken clouds
151,Emmett,43.8735,-116.4993,32.16,78,0,1.01,US,clear sky
152,Sitka,57.0531,-135.33,40.89,87,100,0.0,US,overcast clouds
153,La Ronge,55.1001,-105.2842,14.25,92,0,6.91,CA,clear sky
154,Lavrentiya,65.5833,-171.0,-9.17,83,100,7.74,RU,overcast clouds
155,Maibong,25.3,93.1667,58.33,67,0,1.32,IN,clear sky
156,Bandarbeyla,9.4942,50.8122,75.78,72,84,19.33,SO,light rain
157,Hauterive,46.0901,3.4459,43.56,89,100,0.94,FR,overcast clouds
158,Madang,-5.2246,145.7966,84.02,65,100,6.29,PG,overcast clouds
159,Beisfjord,68.3751,17.5988,32.47,97,100,1.05,NO,light snow
160,Palmer,42.1584,-72.3287,41.41,88,0,0.0,US,mist
161,Katsuura,35.1333,140.3,47.08,40,42,5.77,JP,scattered clouds
162,Lebu,-37.6167,-73.65,56.75,84,0,14.23,CL,clear sky
163,Longyearbyen,78.2186,15.6401,31.84,69,40,18.41,SJ,scattered clouds
164,Esil,51.9556,66.4042,31.87,98,100,20.6,KZ,light snow
165,Rorvik,64.8621,11.2373,28.51,93,100,3.44,NO,light snow
166,Upernavik,72.7868,-56.1549,-16.02,79,17,4.61,GL,few clouds
167,Sulangan,11.1373,123.7228,78.22,88,100,19.95,PH,moderate rain
168,Mokolo,10.7398,13.8019,61.0,40,86,5.53,CM,overcast clouds
169,East London,-33.0153,27.9116,69.44,86,100,12.26,ZA,overcast clouds
170,Moyale,3.5167,39.0584,65.84,72,33,7.29,KE,scattered clouds
171,Roma,43.2128,-75.4557,40.08,87,100,0.0,US,overcast clouds
172,Snezhnogorsk,69.1933,33.2531,-4.22,86,98,2.15,RU,overcast clouds
173,Bilibino,68.0546,166.4372,-43.13,100,51,1.19,RU,broken clouds
174,Robe,-37.1833,139.75,61.57,68,0,16.26,AU,clear sky
175,Manavalakurichi,8.1333,77.3,73.94,77,12,9.13,IN,few clouds
176,North Bend,43.4065,-124.2243,48.92,96,100,12.66,US,mist
177,Klaksvik,62.2266,-6.589,40.12,74,56,25.84,FO,broken clouds
178,Concepcion Del Oro,24.6333,-101.4167,54.3,27,5,6.67,MX,clear sky
179,Nuuk,64.1835,-51.7216,11.88,56,100,17.0,GL,light snow
180,Nivala,63.9167,24.9667,22.05,92,100,2.98,FI,light snow
181,Iqaluit,63.7506,-68.5145,-7.31,83,40,4.61,CA,light snow
182,Kenai,60.5544,-151.2583,35.65,84,0,5.75,US,clear sky
183,Marsa Matruh,31.3525,27.2453,64.6,68,40,11.5,EG,light rain
184,Oussouye,12.485,-16.5469,68.18,58,100,4.36,SN,overcast clouds
185,Ostrovnoy,68.0531,39.5131,22.59,75,100,22.41,RU,overcast clouds
186,Dingle,10.9995,122.6711,75.52,91,100,10.45,PH,overcast clouds
187,Lexington,37.9887,-84.4777,62.49,86,40,5.75,US,scattered clouds
188,Port Lincoln,-34.7333,135.8667,66.81,61,29,15.9,AU,scattered clouds
189,Faya,18.3851,42.4509,51.91,70,13,0.78,SA,few clouds
190,Safaga,26.7292,33.9365,64.24,61,0,5.3,EG,clear sky
191,Singkawang,0.9,109.0,81.77,76,96,6.06,ID,light rain
192,Boende,-0.2167,20.8667,71.37,83,100,2.33,CD,overcast clouds
193,Aksarka,66.5606,67.7975,1.27,96,100,14.79,RU,snow
194,Qaanaaq,77.484,-69.3632,-7.37,59,4,4.9,GL,clear sky
195,Nanortalik,60.1432,-45.2371,10.65,63,88,13.0,GL,overcast clouds
196,Torbay,47.6666,-52.7314,30.97,89,100,6.91,CA,overcast clouds
197,Tahe,52.3333,124.7333,3.16,74,4,5.53,CN,clear sky
198,Uusikaupunki,60.8004,21.4084,32.05,99,100,6.82,FI,light snow
199,Mehamn,71.0357,27.8492,28.35,69,75,13.8,NO,broken clouds
200,Kodiak,57.79,-152.4072,36.91,75,40,13.8,US,scattered clouds
201,Bichura,50.5881,107.6022,-14.28,99,89,1.3,RU,overcast clouds
202,Carutapera,-1.195,-46.02,76.14,88,30,5.44,BR,scattered clouds
203,Huilong,31.8111,121.655,44.38,55,10,7.11,CN,clear sky
204,Novobirilyussy,56.9514,90.6661,-1.79,97,68,4.88,RU,broken clouds
205,Pierre,44.3683,-100.351,29.32,80,20,7.0,US,few clouds
206,Praya,14.9215,-23.5087,73.15,75,52,13.31,CV,broken clouds
207,Kavaratti,10.5669,72.642,80.35,72,61,8.55,IN,broken clouds
208,Mayo,38.8876,-76.5119,59.25,81,100,6.91,US,overcast clouds
209,Awjilah,29.1081,21.2869,53.49,80,1,8.21,LY,clear sky
210,Broken Hill,-31.95,141.4333,82.4,27,0,18.23,AU,clear sky
211,Naivasha,-0.7167,36.4359,58.1,86,72,1.32,KE,broken clouds
212,Chara,56.9064,118.2631,-13.04,65,62,0.67,RU,broken clouds
213,Korla,41.7597,86.1469,16.48,64,39,4.21,CN,scattered clouds
214,Ola,59.5833,151.2833,2.97,75,100,16.22,RU,overcast clouds
215,Asau,46.4333,26.4,29.32,76,44,7.16,RO,scattered clouds
216,San Patricio,28.017,-97.5169,76.15,89,100,14.18,US,overcast clouds
217,Keta,5.9179,0.9879,73.62,73,48,3.67,GH,scattered clouds
218,Ceres,37.5949,-120.9577,46.17,89,100,9.22,US,moderate rain
219,Faanui,-16.4833,-151.75,81.59,70,69,15.26,PF,broken clouds
220,Batticaloa,7.7102,81.6924,76.05,73,55,8.37,LK,broken clouds
221,Mopti,14.6667,-4.0,62.64,27,0,2.3,ML,clear sky
222,Karratha,-20.7377,116.8463,92.03,41,94,5.46,AU,overcast clouds
223,Lasa,46.6166,10.7002,39.02,94,100,1.21,IT,overcast clouds
224,San Lorenzo,-25.3333,-57.5333,77.94,83,40,5.01,PY,scattered clouds
225,Fairbanks,64.8378,-147.7164,12.16,86,20,0.0,US,few clouds
226,Vardo,70.3705,31.1107,28.38,86,40,21.85,NO,scattered clouds
227,Santa Fe,-31.6333,-60.7,79.02,76,0,5.46,AR,light rain
228,Arraial Do Cabo,-22.9661,-42.0278,73.74,87,3,26.37,BR,clear sky
229,Panguna,-6.3164,155.4848,85.71,51,79,3.8,PG,broken clouds
230,Myaundzha,63.0494,147.1858,-36.18,96,65,4.14,RU,broken clouds
231,Tura,25.5198,90.2201,59.45,63,0,2.71,IN,clear sky
232,Mount Gambier,-37.8333,140.7667,62.1,54,99,10.94,AU,overcast clouds
233,Taltal,-25.4,-70.4833,66.83,81,11,2.64,CL,few clouds
234,Exeter,50.7236,-3.5275,46.63,97,100,6.89,GB,overcast clouds
235,Flin Flon,54.7682,-101.865,6.76,99,88,4.56,CA,overcast clouds
236,Dunedin,-45.8742,170.5036,59.81,95,100,12.3,NZ,overcast clouds
237,Werda,-25.2667,23.2833,74.61,46,53,8.93,BW,broken clouds
238,Dongsheng,39.8161,109.9776,17.69,46,0,7.25,CN,clear sky
239,Yelizovo,53.1873,158.3805,21.34,79,100,13.42,RU,shower snow
240,Haines Junction,60.7522,-137.5108,30.15,80,100,5.75,CA,overcast clouds
241,Campbellton,48.0075,-66.6727,25.25,94,27,3.4,CA,scattered clouds
242,Myitkyina,25.3833,97.4,60.06,57,0,2.19,MM,clear sky
243,Acapulco,16.8634,-99.8901,80.42,78,40,6.91,MX,scattered clouds
244,Mogadishu,2.0371,45.3438,77.47,74,100,19.82,SO,overcast clouds
245,Tiksi,71.6872,128.8694,-14.12,98,100,6.78,RU,overcast clouds
246,Severomorsk,69.0689,33.4162,-3.6,94,92,0.83,RU,overcast clouds
247,Santa Cruz,-17.8,-63.1667,74.66,83,75,2.3,BO,broken clouds
248,Christchurch,-43.5333,172.6333,75.33,63,99,18.41,NZ,overcast clouds
249,Shache,38.4167,77.2406,20.05,43,10,5.66,CN,clear sky
250,Kaitangata,-46.2817,169.8464,66.16,67,100,6.02,NZ,overcast clouds
251,Mvangue,2.9667,11.5167,67.15,97,35,1.48,CM,light rain
252,Najran,17.4924,44.1277,57.85,61,0,3.67,SA,clear sky
253,Scarborough,54.2797,-0.4044,35.78,89,3,10.0,GB,clear sky
254,Half Moon Bay,37.4636,-122.4286,50.59,90,100,13.8,US,mist
255,Araouane,18.9048,-3.5265,59.38,17,0,10.36,ML,clear sky
256,Abnub,27.2696,31.1511,48.42,73,0,5.57,EG,clear sky
257,Grand Gaube,-20.0064,57.6608,74.37,74,100,1.99,MU,overcast clouds
258,Cururupu,-1.8283,-44.8683,74.26,94,97,2.68,BR,overcast clouds
259,Calbuco,-41.768,-73.1273,56.41,87,97,7.49,CL,overcast clouds
260,Port Keats,-14.25,129.55,82.36,82,100,21.14,AU,overcast clouds
261,Watertown,42.3709,-71.1828,42.12,80,0,3.44,US,clear sky
262,Maceio,-9.6658,-35.7353,76.44,94,75,1.14,BR,broken clouds
263,Milotice,48.9553,17.1424,45.34,96,100,2.71,CZ,overcast clouds
264,Vaitape,-16.5167,-151.75,81.59,70,66,15.37,PF,broken clouds
265,Igbo Ora,7.4333,3.2833,73.24,33,39,2.1,NG,scattered clouds
266,Port Blair,11.6667,92.75,78.84,65,75,5.75,IN,broken clouds
267,Hamilton,39.1834,-84.5333,60.01,89,100,3.44,US,overcast clouds
268,Banjar,-8.19,114.9675,84.36,65,100,4.74,ID,overcast clouds
269,Jalu,29.0331,21.5482,53.53,80,2,8.59,LY,clear sky
270,Weiser,44.251,-116.9693,32.2,89,10,5.28,US,clear sky
271,Ko Samui,9.5357,99.9357,82.31,74,20,8.05,TH,few clouds
272,Mount Pleasant,32.7941,-79.8626,60.94,95,0,1.99,US,mist
273,Amalapuram,16.5833,82.0167,71.69,80,20,3.4,IN,few clouds
274,Padang,-0.9492,100.3543,78.85,76,100,0.83,ID,overcast clouds
275,Nanakuli,21.3906,-158.1547,80.55,59,0,11.5,US,clear sky
276,Sunds,56.2042,9.0127,41.7,87,75,12.66,DK,broken clouds
277,Tondano,1.3038,124.9112,78.89,60,100,2.48,ID,overcast clouds
278,Saurimo,-9.6608,20.3916,63.54,94,100,3.09,AO,overcast clouds
279,Kavieng,-2.5744,150.7967,85.19,69,47,8.55,PG,scattered clouds
280,West Wendover,40.7391,-114.0733,31.21,80,100,5.75,US,overcast clouds
281,Ketchikan,55.3422,-131.6461,39.18,93,100,5.75,US,moderate rain
282,Ambilobe,-13.2,49.05,71.94,93,60,3.78,MG,broken clouds
283,Bridgend,51.5058,-3.5772,46.53,93,54,3.0,GB,broken clouds
284,Aklavik,68.2191,-135.0107,0.99,96,100,7.81,CA,overcast clouds
285,Saldanha,-33.0117,17.9442,62.98,93,64,14.63,ZA,broken clouds
286,Severo-Kurilsk,50.6789,156.125,20.66,78,100,35.16,RU,light snow
287,Bagotville,-28.9833,153.4167,81.86,62,45,8.86,AU,scattered clouds
288,Tezu,27.9167,96.1667,62.04,43,0,0.78,IN,clear sky
289,Puerto Escondido,15.85,-97.0667,79.63,65,0,0.0,MX,clear sky
290,Banda Aceh,5.5577,95.3222,78.94,75,100,6.04,ID,overcast clouds
291,Havelock,34.8791,-76.9013,58.98,96,0,3.44,US,mist
292,Udachnyy,66.4167,112.4,-16.64,92,95,5.55,RU,overcast clouds
293,Goma,-1.6792,29.2228,59.52,78,0,3.47,CD,clear sky
294,Mandalgovi,45.7625,106.2708,2.19,87,98,5.39,MN,overcast clouds
295,Surt,31.2089,16.5887,58.82,73,0,5.97,LY,clear sky
296,Tamandare,-8.7597,-35.1047,78.82,74,100,7.74,BR,overcast clouds
297,Deputatskiy,69.3,139.9,-40.22,99,48,4.88,RU,scattered clouds
298,Boden,65.8252,21.6886,1.4,100,38,4.59,SE,scattered clouds
299,Nara,34.6851,135.8049,44.91,69,98,10.04,JP,overcast clouds
300,Sept-Iles,50.2001,-66.3821,21.2,71,100,6.91,CA,overcast clouds
301,Ixtapa,20.7,-105.2,72.63,83,20,4.61,MX,few clouds
302,Suntar,62.1444,117.6319,-0.13,92,100,9.19,RU,overcast clouds
303,Muli,2.9167,73.5667,80.42,68,8,12.37,MV,clear sky
304,Bay Roberts,47.5999,-53.2648,32.32,90,100,4.0,CA,overcast clouds
305,Saint-Francois,46.4154,3.9054,42.24,93,100,2.3,FR,mist
306,Gamba,-2.65,10.0,73.81,95,100,4.38,GA,heavy intensity rain
307,Stratford-Upon-Avon,52.1917,-1.7073,40.15,94,2,6.26,GB,clear sky
308,Ulagan,50.6321,87.9563,0.21,89,100,2.35,RU,overcast clouds
309,Beira,-19.8436,34.8389,73.49,100,20,5.01,MZ,light rain
